station,stationLabel,ibnr
http://www.wikidata.org/entity/Q566812,Hamburg-Harburg station,8098147
http://www.wikidata.org/entity/Q547338,Mönchengladbach Hauptbahnhof,8000253
http://www.wikidata.org/entity/Q547299,Kaiserslautern Hauptbahnhof,8000189
http://www.wikidata.org/entity/Q566812,Hamburg-Harburg station,8000147
http://www.wikidata.org/entity/Q564750,Bielefeld Central Station,8000036
http://www.wikidata.org/entity/Q564761,Münster Central Station,8000263
http://www.wikidata.org/entity/Q612074,Verden (Aller) railway station,8006076
http://www.wikidata.org/entity/Q586244,Gare de Guingamp,8700538
http://www.wikidata.org/entity/Q613766,Stuttgart Central Station,8000096
http://www.wikidata.org/entity/Q599069,Gare de Besançon Franche-Comté TGV,8730086
http://www.wikidata.org/entity/Q634142,Hamburg Dammtor station,8002548
http://www.wikidata.org/entity/Q631094,Bremen Hauptbahnhof,8000050
http://www.wikidata.org/entity/Q636700,Mainz Central Station,8000240
http://www.wikidata.org/entity/Q682505,Augsburg Central Station,8000013
http://www.wikidata.org/entity/Q682583,Nuremberg Central Station,8000284
http://www.wikidata.org/entity/Q682609,Würzburg Central Station,8000260
http://www.wikidata.org/entity/Q682569,Rostock Central Station,8010304
http://www.wikidata.org/entity/Q667121,Wiesbaden Central Station,8000250
http://www.wikidata.org/entity/Q678650,Neustrelitz Central Station,8010250
http://www.wikidata.org/entity/Q678286,Berlin-Gesundbrunnen station,8011102
http://www.wikidata.org/entity/Q650270,Hamburg-Altona station,8002553
http://www.wikidata.org/entity/Q682529,Darmstadt Central Station,8000068
http://www.wikidata.org/entity/Q657183,Le Croisic train station,8700199
http://www.wikidata.org/entity/Q688541,Karlsruhe Central Station,8000191
http://www.wikidata.org/entity/Q704394,Dortmund Central Station,8000080
http://www.wikidata.org/entity/Q686045,Futuroscope railway station,8703726
http://www.wikidata.org/entity/Q703916,Leipzig Central Station,8098205
http://www.wikidata.org/entity/Q703918,Hannover Hauptbahnhof,8000152
http://www.wikidata.org/entity/Q683239,Berlin Ostbahnhof railway station,8010255
http://www.wikidata.org/entity/Q687470,Besançon-Viotte station,8700044
http://www.wikidata.org/entity/Q703916,Leipzig Central Station,8010205
http://www.wikidata.org/entity/Q320668,Herford railway station,8000162
http://www.wikidata.org/entity/Q320766,Düren station,8000084
http://www.wikidata.org/entity/Q322286,Uelzen station,8000168
http://www.wikidata.org/entity/Q320974,Saalfeld (Saale) railway station,8010309
http://www.wikidata.org/entity/Q322534,Altenbeken station,8000004
http://www.wikidata.org/entity/Q320778,Wittenberge station,8010382
http://www.wikidata.org/entity/Q320366,Halle (Saale) Central Station,8010159
http://www.wikidata.org/entity/Q721990,Treuchtlingen,8000122
http://www.wikidata.org/entity/Q800366,Aix-en-Provence TGV railway station,8704980
http://www.wikidata.org/entity/Q706994,Mannheim Central Station,8000244
http://www.wikidata.org/entity/Q747541,Paris-Gare-de-Lyon,8700012
http://www.wikidata.org/entity/Q747541,Paris-Gare-de-Lyon,8702341
http://www.wikidata.org/entity/Q800686,Dresden-Neustadt railway station,8010089
http://www.wikidata.org/entity/Q800444,Bamberg,8000025
http://www.wikidata.org/entity/Q800609,Gare de Calais-Fréthun,8701132
http://www.wikidata.org/entity/Q800701,Düsseldorf Airport station,8000082
http://www.wikidata.org/entity/Q800466,Bergen auf Rügen railway station,8010033
http://www.wikidata.org/entity/Q800424,Aéroport Charles de Gaulle 2 TGV,8705053
http://www.wikidata.org/entity/Q800460,Belfort – Montbéliard TGV station,8730082
http://www.wikidata.org/entity/Q800616,Gare de Champagne-Ardenne TGV,8796006
http://www.wikidata.org/entity/Q800424,Aéroport Charles de Gaulle 2 TGV,8704997
http://www.wikidata.org/entity/Q801105,Lippstadt station,8000571
http://www.wikidata.org/entity/Q800830,Gotha railway station,8010136
http://www.wikidata.org/entity/Q800859,Günzburg,8000139
http://www.wikidata.org/entity/Q800804,Garmisch-Partenkirchen,8002187
http://www.wikidata.org/entity/Q800737,Erlangen,8001844
http://www.wikidata.org/entity/Q800835,Greifswald railway station,8010139
http://www.wikidata.org/entity/Q801071,Le Creusot TGV station,8700167
http://www.wikidata.org/entity/Q801098,Lille-Flandres station,8700030
http://www.wikidata.org/entity/Q801099,Lille-Europe railway station,8704949
http://www.wikidata.org/entity/Q801145,Lüneburg station,8000238
http://www.wikidata.org/entity/Q801130,Ludwigslust railway station,8010216
http://www.wikidata.org/entity/Q801132,Lutherstadt Wittenberg Hauptbahnhof,8010222
http://www.wikidata.org/entity/Q801144,Gare de Lyon Saint-Exupéry,8702384
http://www.wikidata.org/entity/Q801167,Marne-la-Vallée - Chessy,8704948
http://www.wikidata.org/entity/Q801121,Gare de Lorraine TGV,8700729
http://www.wikidata.org/entity/Q801170,Gare de Massy TGV,8701607
http://www.wikidata.org/entity/Q801127,Ludwigsburg station,8000235
http://www.wikidata.org/entity/Q801361,Riesa railway station,8010297
http://www.wikidata.org/entity/Q801322,Plattling station,8000301
http://www.wikidata.org/entity/Q801181,Gare de Meuse TGV,8714732
http://www.wikidata.org/entity/Q801502,TGV Haute-Picardie railway station,8704957
http://www.wikidata.org/entity/Q801310,Pasewalk railway station,8010268
http://www.wikidata.org/entity/Q801468,Stendal Hauptbahnhof,8010334
http://www.wikidata.org/entity/Q801302,Ostseebad Binz railway station,8011191
http://www.wikidata.org/entity/Q801354,Rendsburg station,8000312
http://www.wikidata.org/entity/Q801205,Gare de Mulhouse,8700031
http://www.wikidata.org/entity/Q958671,Gare de Colmar,8700178
http://www.wikidata.org/entity/Q801579,Warburg station,8000196
http://www.wikidata.org/entity/Q801681,Züssow railway station,8010396
http://www.wikidata.org/entity/Q1887294,Valenciennes railway station,8700078
http://www.wikidata.org/entity/Q1866058,Rennes railway station,8700025
